Name,links
Le Comptoir de la Gastronomie,https://www.yelp.ie/biz/le-comptoir-de-la-gastronomie-paris?osq=Restaurants
Bistro des Augustins,https://www.yelp.ie/biz/bistro-des-augustins-paris?osq=Restaurants
Frenchie Restaurant,https://www.yelp.ie/biz/frenchie-restaurant-paris?osq=Restaurants
Angelina,https://www.yelp.ie/biz/angelina-paris?osq=Restaurants
L’Avant Comptoir,https://www.yelp.ie/biz/l-avant-comptoir-paris-3?osq=Restaurants
La Coïncidence,https://www.yelp.ie/biz/la-co%C3%AFncidence-paris-4?osq=Restaurants
Le Temps des Cerises,https://www.yelp.ie/biz/le-temps-des-cerises-paris-5?osq=Restaurants
La Cordonnerie,https://www.yelp.ie/biz/la-cordonnerie-paris-5?osq=Restaurants
Le Relais de l’Entrecôte,https://www.yelp.ie/biz/le-relais-de-l-entrec%C3%B4te-paris-4?osq=Restaurants
Baguett’s Café,https://www.yelp.ie/biz/baguetts-caf%C3%A9-paris?osq=Restaurants
L’As du Fallafel,https://www.yelp.ie/biz/l-as-du-fallafel-paris?osq=Restaurants
Le Boui Boui,https://www.yelp.ie/biz/le-boui-boui-paris?osq=Restaurants
Pain Vin Fromages,https://www.yelp.ie/biz/pain-vin-fromages-paris?osq=Restaurants
Guy Savoy,https://www.yelp.ie/biz/guy-savoy-paris-3?osq=Restaurants
Septime,https://www.yelp.ie/biz/septime-paris-2?osq=Restaurants
Au Bon Accueil,https://www.yelp.ie/biz/au-bon-accueil-paris-3?osq=Restaurants
Girafe,https://www.yelp.ie/biz/girafe-paris?osq=Restaurants
Mamma Primi,https://www.yelp.ie/biz/mamma-primi-paris?osq=Restaurants
L’Epicure,https://www.yelp.ie/biz/l-epicure-paris-2?osq=Restaurants
Le Train Bleu,https://www.yelp.ie/biz/le-train-bleu-paris-3?osq=Restaurants
Aux Trois Mailletz,https://www.yelp.ie/biz/aux-trois-mailletz-paris?osq=Restaurants
La Maison de la Truffe,https://www.yelp.ie/biz/la-maison-de-la-truffe-paris?osq=Restaurants
L’îlot,https://www.yelp.ie/biz/l-%C3%AElot-paris-2?osq=Restaurants
Le Petit Canard,https://www.yelp.ie/biz/le-petit-canard-paris?osq=Restaurants
Le Bistro du Périgord,https://www.yelp.ie/biz/le-bistro-du-p%C3%A9rigord-paris-3?osq=Restaurants
Le Cinq,https://www.yelp.ie/biz/le-cinq-paris?osq=Restaurants
Chez Fernand,https://www.yelp.ie/biz/chez-fernand-paris?osq=Restaurants
Bouillon Chartier,https://www.yelp.ie/biz/bouillon-chartier-paris?osq=Restaurants
Le Baratin,https://www.yelp.ie/biz/le-baratin-paris?osq=Restaurants
La Fontaine de Mars,https://www.yelp.ie/biz/la-fontaine-de-mars-paris-2?osq=Restaurants
Beefbar,https://www.yelp.ie/biz/beefbar-paris?osq=Restaurants
Le Comptoir Colonial,https://www.yelp.ie/biz/le-comptoir-colonial-paris?osq=Restaurants
Le Jules Verne,https://www.yelp.ie/biz/le-jules-verne-paris-4?osq=Restaurants
Sanukiya,https://www.yelp.ie/biz/sanukiya-paris?osq=Restaurants
Alain Ducasse au Plaza Athénée,https://www.yelp.ie/biz/alain-ducasse-au-plaza-ath%C3%A9n%C3%A9e-paris-4?osq=Restaurants
Café Louise,https://www.yelp.ie/biz/caf%C3%A9-louise-paris-4?osq=Restaurants
Le Potager du Père Thierry,https://www.yelp.ie/biz/le-potager-du-p%C3%A8re-thierry-paris-2?osq=Restaurants
Chez Janou,https://www.yelp.ie/biz/chez-janou-paris?osq=Restaurants
La Droguerie du Marais,https://www.yelp.ie/biz/la-droguerie-du-marais-paris?osq=Restaurants
Chez Papa Jazz Club,https://www.yelp.ie/biz/chez-papa-jazz-club-paris?osq=Restaurants
Langousta,https://www.yelp.ie/biz/langousta-paris?osq=Restaurants
Bien Bien,https://www.yelp.ie/biz/bien-bien-paris-2?osq=Restaurants
Bouillon Chartier,https://www.yelp.ie/biz/bouillon-chartier-paris-4?osq=Restaurants
Les Antiquaires,https://www.yelp.ie/biz/les-antiquaires-paris?osq=Restaurants
Joséphine chez Dumonet,https://www.yelp.ie/biz/jos%C3%A9phine-chez-dumonet-paris-5?osq=Restaurants
Ober Mamma,https://www.yelp.ie/biz/ober-mamma-paris?osq=Restaurants
La Jacobine,https://www.yelp.ie/biz/la-jacobine-paris?osq=Restaurants
Iovine’s,https://www.yelp.ie/biz/iovines-paris-2?osq=Restaurants
LouLou,https://www.yelp.ie/biz/loulou-paris?osq=Restaurants
Gemini,https://www.yelp.ie/biz/gemini-paris-2?osq=Restaurants
Comme Chez Soi,https://www.yelp.ie/biz/comme-chez-soi-paris?osq=Restaurants
Victoires,https://www.yelp.ie/biz/victoires-paris-2?osq=Restaurants
Ellsworth,https://www.yelp.ie/biz/ellsworth-paris?osq=Restaurants
Gambino,https://www.yelp.ie/biz/gambino-paris-2?osq=Restaurants
La Maison du Dim Sum,https://www.yelp.ie/biz/la-maison-du-dim-sum-paris?osq=Restaurants
La Régalade,https://www.yelp.ie/biz/la-r%C3%A9galade-paris-3?osq=Restaurants
L’Escargot,https://www.yelp.ie/biz/l-escargot-paris-3?osq=Restaurants
Claus - La Table du Petit-Déjeuner,https://www.yelp.ie/biz/claus-la-table-du-petit-d%C3%A9jeuner-paris?osq=Restaurants
Clamato,https://www.yelp.ie/biz/clamato-paris?osq=Restaurants
Le Porte Pot,https://www.yelp.ie/biz/le-porte-pot-paris?osq=Restaurants
L’Arpège,https://www.yelp.ie/biz/l-arp%C3%A8ge-paris-2?osq=Restaurants
Odette,https://www.yelp.ie/biz/odette-paris-3?osq=Restaurants
Ferdi,https://www.yelp.ie/biz/ferdi-paris?osq=Restaurants
Le Brun,https://www.yelp.ie/biz/le-brun-paris-4?osq=Restaurants
Grenouilles,https://www.yelp.ie/biz/grenouilles-paris?osq=Restaurants
Okuda,https://www.yelp.ie/biz/okuda-paris?osq=Restaurants
Chungking Express,https://www.yelp.ie/biz/chungking-express-paris?osq=Restaurants
Aux Vieux Garçons,https://www.yelp.ie/biz/aux-vieux-gar%C3%A7ons-paris?osq=Restaurants
Le Grenier de Notre-Dame,https://www.yelp.ie/biz/le-grenier-de-notre-dame-paris?osq=Restaurants
Le Cadoret,https://www.yelp.ie/biz/le-cadoret-paris?osq=Restaurants
Aux Lyonnais,https://www.yelp.ie/biz/aux-lyonnais-paris?osq=Restaurants
Tour d’Argent,https://www.yelp.ie/biz/tour-d-argent-paris?osq=Restaurants
Crêperie Saint Eustache,https://www.yelp.ie/biz/cr%C3%AAperie-saint-eustache-paris-2?osq=Restaurants
Au Pied du Sacré Coeur,https://www.yelp.ie/biz/au-pied-du-sacr%C3%A9-coeur-paris-2?osq=Restaurants
Chez Georges,https://www.yelp.ie/biz/chez-georges-paris-6?osq=Restaurants
Tire Bouchon,https://www.yelp.ie/biz/tire-bouchon-paris?osq=Restaurants
Le P’tit Bistro,https://www.yelp.ie/biz/le-p-tit-bistro-paris-2?osq=Restaurants
Restaurant de la Tour,https://www.yelp.ie/biz/restaurant-de-la-tour-paris?osq=Restaurants
Table,https://www.yelp.ie/biz/table-paris-2?osq=Restaurants
Enza & Famiglia Trattoria Pasta,https://www.yelp.ie/biz/enza-et-famiglia-trattoria-pasta-paris?osq=Restaurants
Boulettes,https://www.yelp.ie/biz/boulettes-paris?osq=Restaurants
Café Plume,https://www.yelp.ie/biz/caf%C3%A9-plume-paris-2?osq=Restaurants
Le Clarence,https://www.yelp.ie/biz/le-clarence-paris?osq=Restaurants
Lion Sot,https://www.yelp.ie/biz/lion-sot-paris?osq=Restaurants
Café Blanc,https://www.yelp.ie/biz/caf%C3%A9-blanc-paris-7?osq=Restaurants
LiLi,https://www.yelp.ie/biz/lili-paris-2?osq=Restaurants
L’Ange 20,https://www.yelp.ie/biz/l-ange-20-paris-2?osq=Restaurants
Café de Paris,https://www.yelp.ie/biz/caf%C3%A9-de-paris-paris-9?osq=Restaurants
Le Relais de l’Entrecôte,https://www.yelp.ie/biz/le-relais-de-l-entrec%C3%B4te-paris-3?osq=Restaurants
Scossa,https://www.yelp.ie/biz/scossa-paris?osq=Restaurants
Le P’tit Barcelone,https://www.yelp.ie/biz/le-p-tit-barcelone-paris?osq=Restaurants
Ô Chateau,https://www.yelp.ie/biz/%C3%B4-chateau-paris-6?osq=Restaurants
David Toutain,https://www.yelp.ie/biz/david-toutain-paris?osq=Restaurants
Pavillon Ledoyen,https://www.yelp.ie/biz/pavillon-ledoyen-paris-3?osq=Restaurants
Frame,https://www.yelp.ie/biz/frame-paris-2?osq=Restaurants
Le Saint André,https://www.yelp.ie/biz/le-saint-andr%C3%A9-paris-2?osq=Restaurants
Le Bistrot des Vosges,https://www.yelp.ie/biz/le-bistrot-des-vosges-paris?osq=Restaurants
Les Artizans,https://www.yelp.ie/biz/les-artizans-paris?osq=Restaurants
Eels,https://www.yelp.ie/biz/eels-paris?osq=Restaurants
Robert et Louise,https://www.yelp.ie/biz/robert-et-louise-paris-2?osq=Restaurants
L’Avant Comptoir du Marché,https://www.yelp.ie/biz/l-avant-comptoir-du-march%C3%A9-paris?osq=Restaurants
Semilla,https://www.yelp.ie/biz/semilla-paris?osq=Restaurants
Loup,https://www.yelp.ie/biz/loup-paris?osq=Restaurants
"Shangri-La Hotel, Paris",https://www.yelp.ie/biz/shangri-la-hotel-paris-paris-3?osq=Restaurants
Le Colimaçon,https://www.yelp.ie/biz/le-colima%C3%A7on-paris-4?osq=Restaurants
La Cuisine de Philippe,https://www.yelp.ie/biz/la-cuisine-de-philippe-paris-2?osq=Restaurants
El Nopal,https://www.yelp.ie/biz/el-nopal-paris-3?osq=Restaurants
