Name,links
Restaurant Mumi,https://www.yelp.ie/biz/restaurant-mumi-paris?osq=Restaurants
L’Ange 20,https://www.yelp.ie/biz/l-ange-20-paris-2?osq=Restaurants
Scossa,https://www.yelp.ie/biz/scossa-paris?osq=Restaurants
Eels,https://www.yelp.ie/biz/eels-paris?osq=Restaurants
Kitchen,https://www.yelp.ie/biz/kitchen-paris-3?osq=Restaurants
La Buvette,https://www.yelp.ie/biz/la-buvette-paris?osq=Restaurants
Le Saint André,https://www.yelp.ie/biz/le-saint-andr%C3%A9-paris-2?osq=Restaurants
Le Colimaçon,https://www.yelp.ie/biz/le-colima%C3%A7on-paris-4?osq=Restaurants
Le P’tit Barcelone,https://www.yelp.ie/biz/le-p-tit-barcelone-paris?osq=Restaurants
Élysées Istanbul,https://www.yelp.ie/biz/%C3%A9lys%C3%A9es-istanbul-paris?osq=Restaurants
Le Bistro Lyonnais,https://www.yelp.ie/biz/le-bistro-lyonnais-paris?osq=Restaurants
Ménélik,https://www.yelp.ie/biz/m%C3%A9n%C3%A9lik-paris-2?osq=Restaurants
Le Sens Unique,https://www.yelp.ie/biz/le-sens-unique-paris-2?osq=Restaurants
Le Reminet,https://www.yelp.ie/biz/le-reminet-paris-3?osq=Restaurants
Le Cochon à l’Oreille,https://www.yelp.ie/biz/le-cochon-%C3%A0-l-oreille-paris-4?osq=Restaurants
San,https://www.yelp.ie/biz/san-paris-3?osq=Restaurants
Baltard au Louvre,https://www.yelp.ie/biz/baltard-au-louvre-paris?osq=Restaurants
Le Caveau du Palais,https://www.yelp.ie/biz/le-caveau-du-palais-paris?osq=Restaurants
Café de l’Homme,https://www.yelp.ie/biz/caf%C3%A9-de-l-homme-paris-2?osq=Restaurants
Le 6 Paul Bert,https://www.yelp.ie/biz/le-6-paul-bert-paris-2?osq=Restaurants
Restaurant le Meurice Alain Ducasse,https://www.yelp.ie/biz/restaurant-le-meurice-alain-ducasse-paris-2?osq=Restaurants
Neighbours,https://www.yelp.ie/biz/neighbours-paris-2?osq=Restaurants
Les Petites Bouchées,https://www.yelp.ie/biz/les-petites-bouch%C3%A9es-paris?osq=Restaurants
Chez Paul,https://www.yelp.ie/biz/chez-paul-paris-3?osq=Restaurants
Le Ruisseau - Burger Joint,https://www.yelp.ie/biz/le-ruisseau-burger-joint-paris?osq=Restaurants
Le Florimond,https://www.yelp.ie/biz/le-florimond-paris-2?osq=Restaurants
Jantchi,https://www.yelp.ie/biz/jantchi-paris?osq=Restaurants
L’Aligot,https://www.yelp.ie/biz/l-aligot-paris?osq=Restaurants
Umami Matcha Café,https://www.yelp.ie/biz/umami-matcha-caf%C3%A9-paris-3?osq=Restaurants
L’Ilot Vache,https://www.yelp.ie/biz/l-ilot-vache-paris?osq=Restaurants
