title,n_views,pricing,amenities,number,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday
Le Comptoir de la Gastronomie,1111 reviews,€€ ,Takes ReservationsNo DeliveryNo TakeoutLimited Vegetarian Options,01 42 33 31 32,34 rue Montmartre 75001 Paris France,Mon12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 12:00 AM (Next day)Closed now,12:00 PM - 12:00 AM (Next day),Closed
Bistro des Augustins,434 reviews,€€ ,Takes ReservationsNo DeliveryNo TakeoutLimited Vegetarian Options,01 43 54 04 41,39 quai des Grands Augustins 75006 Paris France,Mon10:00 AM - 2:00 AM (Next day),10:00 AM - 2:00 AM (Next day),10:00 AM - 2:00 AM (Next day),10:00 AM - 2:00 AM (Next day),10:00 AM - 2:00 AM (Next day)Closed now,10:00 AM - 2:00 AM (Next day),10:00 AM - 2:00 AM (Next day)
Frenchie Restaurant,215 reviews,€€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 40 39 96 19,5-6 rue du Nil 75002 Paris France,Mon6:30 PM - 10:00 PM,6:30 PM - 10:00 PM,6:30 PM - 10:00 PM,12:00 PM - 3:00 PM6:30 PM - 10:00 PM,12:00 PM - 3:00 PM6:30 PM - 10:00 PMClosed now,Closed,Closed
Angelina,1355 reviews,Unclaimed ,Takes ReservationsOffers TakeoutNo DeliveryAccepts Credit Cards,01 42 60 82 00,226 rue de Rivoli 75001 Paris France,Mon7:30 AM - 7:00 PM,7:30 AM - 7:00 PM,7:30 AM - 7:00 PM,7:30 AM - 7:00 PM,7:30 AM - 7:30 PMClosed now,8:30 AM - 7:30 PM,8:30 AM - 7:30 PM
Angelina,1355 reviews,€€€ ,Takes ReservationsOffers TakeoutNo DeliveryAccepts Credit Cards,01 42 60 82 00,226 rue de Rivoli 75001 Paris France,Mon7:30 AM - 7:00 PM,7:30 AM - 7:00 PM,7:30 AM - 7:00 PM,7:30 AM - 7:00 PM,7:30 AM - 7:30 PMClosed now,8:30 AM - 7:30 PM,8:30 AM - 7:30 PM
L'Avant Comptoir,613 reviews,€€ ,Offers TakeoutNo ReservationsNo DeliveryVegan Options,01 42 38 47 55,3 carrefour de l'Odéon 75006 Paris France,Mon12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PMClosed now,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM
La Coïncidence,494 reviews,€€ ,Takes ReservationsOffers TakeoutNo DeliveryVegan Options,01 47 55 96 44,15 rue Mesnil 75116 Paris France,Mon7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PMClosed now,7:00 PM - 11:00 PM,Closed
Le Temps des Cerises,343 reviews,€€ ,Takes ReservationsOffers TakeoutNo DeliveryMany Vegetarian Options,01 42 72 08 63,31 rue de la Cerisaie 75004 Paris France,Mon8:00 AM - 3:00 PM5:30 PM - 9:00 PM,8:00 AM - 3:00 PM5:30 PM - 9:00 PM,8:00 AM - 3:00 PM5:30 PM - 9:00 PM,8:00 AM - 3:00 PM5:30 PM - 9:00 PM,8:00 AM - 3:00 PM5:30 PM - 9:00 PMClosed now,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM
La Cordonnerie,80 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 42 60 17 42,20 rue Saint Roch 75001 Paris France,Mon12:00 PM - 2:00 PM7:30 PM - 10:00 PM,12:00 PM - 2:00 PM7:30 PM - 10:00 PM,12:00 PM - 2:00 PM7:30 PM - 10:00 PM,12:00 PM - 2:00 PM7:30 PM - 10:00 PM,12:00 PM - 2:00 PM7:30 PM - 10:00 PMClosed now,Closed,Closed
Le Relais de l'Entrecôte,436 reviews,Unclaimed ,No ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 45 49 16 00,20 rue Saint Benoît 75006 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PMClosed now,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM
Le Relais de l'Entrecôte,436 reviews,€€€ ,No ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 45 49 16 00,20 rue Saint Benoît 75006 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PMClosed now,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM
Baguett's Café,195 reviews,€€ ,Offers DeliveryOffers TakeoutNo ReservationsVegan Options,09 54 83 04 86,33 rue de Richelieu 75001 Paris France,Mon8:30 AM - 3:00 PM,8:30 AM - 3:00 PM,8:30 AM - 3:00 PM,8:30 AM - 3:00 PM,8:30 AM - 3:00 PMClosed now,9:00 AM - 3:30 PM,Closed
L'As du Fallafel,1809 reviews,Unclaimed ,Offers TakeoutNo ReservationsNo DeliveryVegan Options,01 48 87 63 60,34 rue des Rosiers 75004 Paris France,Mon11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 5:00 PMClosed now,Closed,11:00 AM - 12:00 AM (Next day)
L'As du Fallafel,1809 reviews,€ ,Offers TakeoutNo ReservationsNo DeliveryVegan Options,01 48 87 63 60,34 rue des Rosiers 75004 Paris France,Mon11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 5:00 PMClosed now,Closed,11:00 AM - 12:00 AM (Next day)
Le Boui Boui,58 reviews,€€ ,No ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 36 40 94,11 rue Marie Stuart 75002 Paris France,MonClosed,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PMClosed now,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,Closed
Pain Vin Fromages,252 reviews,€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 74 07 52,3 rue Geoffroy-l'Angevin 75004 Paris France,Mon7:00 PM - 11:30 PM,7:00 PM - 11:30 PM,7:00 PM - 11:30 PM,7:00 PM - 11:30 PM,7:00 PM - 11:30 PMClosed now,7:00 PM - 11:30 PM,7:00 PM - 11:30 PM
Guy Savoy,68 reviews,€€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 80 40 61,Monnaie de Paris 11 quai de Conti 75006 Paris France,MonClosed,12:00 PM - 2:00 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:00 PM7:00 PM - 10:30 PM,12:00 PM - 2:00 PM7:00 PM - 10:30 PMClosed now,7:00 PM - 10:30 PM,Closed
Septime,135 reviews,Unclaimed ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 67 38 29,80 rue de Charonne 75011 Paris France,Mon8:00 PM - 10:30 PM,12:00 PM - 2:30 PM8:00 PM - 10:30 PM,12:00 PM - 2:30 PM8:00 PM - 10:30 PM,12:00 PM - 2:30 PM8:00 PM - 10:30 PM,12:00 PM - 2:30 PM8:00 PM - 10:30 PMClosed now,Closed,Closed
Septime,135 reviews,€€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 67 38 29,80 rue de Charonne 75011 Paris France,Mon8:00 PM - 10:30 PM,12:00 PM - 2:30 PM8:00 PM - 10:30 PM,12:00 PM - 2:30 PM8:00 PM - 10:30 PM,12:00 PM - 2:30 PM8:00 PM - 10:30 PM,12:00 PM - 2:30 PM8:00 PM - 10:30 PMClosed now,Closed,Closed
Au Bon Accueil,80 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 47 05 46 11,14 rue Monttessuy 75007 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PMClosed now,Closed,Closed
Girafe,47 reviews,Unclaimed ,"Takes ReservationsMany Vegetarian OptionsOutdoor SeatingTouristy, Trendy, Intimate, Romantic, Classy",01 40 62 70 61,1 place du Trocadéro Palais de Chaillot 75016 Paris France,Mon12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PMClosed now,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM
Girafe,47 reviews,€€€€ ,"Takes ReservationsMany Vegetarian OptionsOutdoor SeatingTouristy, Trendy, Intimate, Romantic, Classy",01 40 62 70 61,1 place du Trocadéro Palais de Chaillot 75016 Paris France,Mon12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PMClosed now,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM
